Game_Name,Game_Price,Game_Genre,Game_URL
Alpine Alpaca,N/A,Card Game,https://johanpeitz.itch.io/alpine-alpaca
Flooded caves,N/A,Puzzle,https://nusan.itch.io/flooded-caves
MICRO MURDER: But It's Robots So It's OK,N/A,Strategy,https://tictactoad.itch.io/micro-murder
Kitsu,N/A,Puzzle,https://fayer.itch.io/kitsu
Shroomchitect 🍄,$6,Simulation,https://punkcake.itch.io/shroomchitect
Golf Sunday,N/A,Sports,https://johanpeitz.itch.io/golf-sunday
Embrace,$2,Simulation,https://trasevol-dog.itch.io/embrace
Picowars,N/A,Strategy,https://lambdanaut.itch.io/picowars
Artorio,N/A,Puzzle,https://munro.itch.io/artorio
Minima,N/A,Role Playing,https://feneric.itch.io/minima
Gar's Den,N/A,Adventure,https://trasevol-dog.itch.io/gars-den
Pico Pirates,N/A,Adventure,https://ctinney94.itch.io/pico-pirates
Astra And The New Constellation,$4.99,Platformer,https://rarelikeaunicorn.itch.io/astra
Pumpking,N/A,N/A,https://sophieh.itch.io/pumpking
Lands Of Yocta,N/A,N/A,https://trasevol-dog.itch.io/lands-of-yocta
Pico Monsters,N/A,Adventure,https://spelltop.itch.io/pico-monsters
The Invincible Run-Gun-Bot,N/A,Action,https://guerragames.itch.io/run-gun-bot
Curious Fishing,N/A,Puzzle,https://rhythmlynx.itch.io/curious-fishing
Alone in Pico,N/A,Adventure,https://nusan.itch.io/alone-in-pico
GHOSTS IN THE GARDEN,N/A,Puzzle,https://npckc.itch.io/ghosts-in-the-garden
Frog King,N/A,Platformer,https://pixpnd.itch.io/frog-king
Cherry Bomb,$3.50,Shooter,https://krystman.itch.io/cherrybomb
Dusk Child,N/A,Adventure,https://sophieh.itch.io/dusk-child
The.Green.Legion,N/A,Shooter,https://guerragames.itch.io/thegreenlegion
Cab Ride,N/A,Simulation,https://powersaurus.itch.io/cab-ride
Pip!,N/A,Platformer,https://rarelikeaunicorn.itch.io/pip
Summer Carnival '22: CrossGunr DX,N/A,Shooter,https://aktanedev.itch.io/crossgunr
Dungeon Witches,$2.50,Role Playing,https://1oogames.itch.io/dungeon-witches
GRiPPY​,$1,Platformer,https://ivysly.itch.io/grippy
Slime Bubble Bro,N/A,Platformer,https://guerragames.itch.io/slimebubblebro
Artemis' Minesweeper v1.2,N/A,Puzzle,https://numachitamanegi.itch.io/artemis-minesweeper
Pico Space Program,N/A,N/A,https://nothke.itch.io/pico-space-program
Eternal Danmaku Uchusen Challenge,N/A,Shooter,https://tatooka.itch.io/danmaku-uchusen
Brawl,N/A,Action,https://codemanu.itch.io/brawl
Pixel Session Vol.1,$3,Action,https://trasevol-dog.itch.io/pixel-session-vol1
PICOMIN,N/A,Strategy,https://gunturtle.itch.io/picomin
Skyrogue (7DRL 2019),N/A,Puzzle,https://dragonxvi.itch.io/skyrogue
Mot's 8-Ball Pool,N/A,Sports,https://tommulgrew.itch.io/mots-8-ball-pool
The Loss Levels,N/A,N/A,https://danhett.itch.io/the-loss-levels
One Room Dungeon,N/A,Action,https://trasevol-dog.itch.io/one-room-dungeon
PINFALL,N/A,Platformer,https://garbo111.itch.io/pinfall
Foreverred,N/A,Platformer,https://taco360.itch.io/foreverred
HALLOWE3N,N/A,Adventure,https://liquidream.itch.io/hallowe3n
Buns: Bunny survivor,N/A,Action,https://unikotoast.itch.io/buns-bunny-survivor
Charge!,N/A,Action,https://hyperlinkyourheart.itch.io/charge-pico-8
Virtuous Vanquisher of Evil,N/A,Role Playing,https://ironchestgames.itch.io/virtuous-vanquisher-of-evil
8 Legs to Love,N/A,N/A,https://aylanonsense.itch.io/8-legs-to-love
Corrupted Space,N/A,Platformer,https://egordorichev.itch.io/corrupted-space
Get in Santa's Pants,N/A,Adventure,https://louistrations.itch.io/santas-pants
Fencing,N/A,Fighting,https://sweaters.itch.io/fencing
Here Comes The Bride,N/A,Fighting,https://liquidream.itch.io/here-comes-the-bride
Froggi,N/A,Survival,https://sophieh.itch.io/froggi
pikoralli,N/A,Racing,https://nothke.itch.io/pikoralli
Kid Bludd's Treacherous Tower,N/A,Platformer,https://mhughson.itch.io/kid-bludds-treacherous-tower
Willo,N/A,Action,https://hauntpun.itch.io/willo
Get Comfortable,N/A,N/A,https://mcccclean.itch.io/get-comfortable
Attack on the Deathstar,N/A,Simulation,https://freds72.itch.io/attack-on-the-deathstar
Pico Snail!: Dream Castle,N/A,Platformer,https://floofinator.itch.io/pico-snail
A Hat on Time,N/A,Platformer,https://eggnog.itch.io/a-hat-on-time
Pigments,N/A,N/A,https://benjamin-soul.itch.io/pigments
Seaweed (Rainbow Jam 20),N/A,Adventure,https://dragonxvi.itch.io/seaweed-rainbow-jam-20
Pakpok,N/A,Platformer,https://st33d.itch.io/pakpok
The Spooky House,N/A,Adventure,https://spookysoft.itch.io/the-spooky-house
Cheshire in a Chatroom,N/A,Simulation,https://arkicade.itch.io/cheshire-in-a-chatroom
Scrap Boy,N/A,Platformer,https://bonevolt.itch.io/scrap-boy
Flowers for Time,N/A,Strategy,https://arkicade.itch.io/flowers-for-time
ISLANDER,N/A,Survival,https://carsonk.itch.io/islander
Crowded Dungeon Crawler,N/A,Puzzle,https://bonevolt.itch.io/crowded-dungeon-crawler
Pyramid of Flames,N/A,Platformer,https://paranoidcactus.itch.io/pyramid-of-flames
Curse of Greed: ULTIMATE,N/A,Platformer,https://sophieh.itch.io/curse-of-greed
skulldude,N/A,Shooter,https://guerragames.itch.io/skulldude
Hydra,N/A,Adventure,https://alienbug.itch.io/hydra
Jack of Spades,N/A,Role Playing,https://bonevolt.itch.io/jackofspades
4 GIGA BOSS FIGHTS,N/A,Shooter,https://guerragames.itch.io/4gigabossfights
Lemonhunter,N/A,Platformer,https://blizzz.itch.io/lemonhunter
piCOLUMNS,$3,Puzzle,https://extar.itch.io/picolumns
Saxophight,N/A,Action,https://cekent.itch.io/saxophight
INGESTE,N/A,Platformer,https://exult.itch.io/ingeste
Reunited,N/A,Puzzle,https://rarelikeaunicorn.itch.io/reunited
Pongeon,3€,Puzzle,https://elastiskalinjen.itch.io/pongeon
Talos Descent,N/A,Action,https://mhughson.itch.io/talos-descent
Duck Duck Plays the Blues,N/A,N/A,https://seansleblanc.itch.io/duck-duck-plays-the-blues
molecules,N/A,Puzzle,https://pocketfruit.itch.io/molecules
LOCKEY - Zana's Tale,N/A,Puzzle,https://reineke.itch.io/lockey
Keineged an nor,N/A,Adventure,https://anto80.itch.io/keineged-an-nor
Ghost Hunt - Deluxe,N/A,Action,https://shnilsen.itch.io/ghosthunt
Secret Santa,N/A,Platformer,https://liquidream.itch.io/secret-santa
Evolings [Game Jam Version],N/A,Strategy,https://soerbgames.itch.io/evolings-gamejam
6 keys,N/A,Adventure,https://sopdev.itch.io/6-keys
