Game_Name,Game_Price,Game_Genre,Game_URL
Heat Death,N/A,Action,https://gate.itch.io/heat-death
Darkest Moon,N/A,Survival,https://jessemillar.itch.io/darkest-moon
Gar's Den,N/A,Adventure,https://trasevol-dog.itch.io/gars-den
MYRRH'S EDGE,N/A,Action,https://thattomhall.itch.io/myrrhs-edge
MICRO MURDER: But It's Robots So It's OK,N/A,Strategy,https://tictactoad.itch.io/micro-murder
HAKAI,$3,Fighting,https://freezydev.itch.io/hakai
Alpine Alpaca,N/A,Card Game,https://johanpeitz.itch.io/alpine-alpaca
Dusk Child,N/A,Adventure,https://sophieh.itch.io/dusk-child
Picowars,N/A,Strategy,https://lambdanaut.itch.io/picowars
Minima,N/A,Role Playing,https://feneric.itch.io/minima
Pumpking,N/A,N/A,https://sophieh.itch.io/pumpking
Shroomchitect 🍄,$6,Simulation,https://punkcake.itch.io/shroomchitect
Buns: Bunny survivor,N/A,Action,https://unikotoast.itch.io/buns-bunny-survivor
Pico Monsters,N/A,Adventure,https://spelltop.itch.io/pico-monsters
Kitsu,N/A,Puzzle,https://fayer.itch.io/kitsu
Embrace,$2,Simulation,https://trasevol-dog.itch.io/embrace
Alone in Pico,N/A,Adventure,https://nusan.itch.io/alone-in-pico
Artorio,N/A,Puzzle,https://munro.itch.io/artorio
Get in Santa's Pants,N/A,Adventure,https://louistrations.itch.io/santas-pants
ISLANDER,N/A,Survival,https://carsonk.itch.io/islander
Lands Of Yocta,N/A,N/A,https://trasevol-dog.itch.io/lands-of-yocta
Mot's 8-Ball Pool,N/A,Sports,https://tommulgrew.itch.io/mots-8-ball-pool
Astra And The New Constellation,$4.99,Platformer,https://rarelikeaunicorn.itch.io/astra
Pico Pirates,N/A,Adventure,https://ctinney94.itch.io/pico-pirates
Eternal Danmaku Uchusen Challenge,N/A,Shooter,https://tatooka.itch.io/danmaku-uchusen
Curious Fishing,N/A,Puzzle,https://rhythmlynx.itch.io/curious-fishing
Foreverred,N/A,Platformer,https://taco360.itch.io/foreverred
Cherry Bomb,$3.50,Shooter,https://krystman.itch.io/cherrybomb
Artemis' Minesweeper v1.2,N/A,Puzzle,https://numachitamanegi.itch.io/artemis-minesweeper
Brawl,N/A,Action,https://codemanu.itch.io/brawl
The Invincible Run-Gun-Bot,N/A,Action,https://guerragames.itch.io/run-gun-bot
GHOSTS IN THE GARDEN,N/A,Puzzle,https://npckc.itch.io/ghosts-in-the-garden
The.Green.Legion,N/A,Shooter,https://guerragames.itch.io/thegreenlegion
GRiPPY​,$1,Platformer,https://ivysly.itch.io/grippy
Fencing,N/A,Fighting,https://sweaters.itch.io/fencing
Seaweed (Rainbow Jam 20),N/A,Adventure,https://dragonxvi.itch.io/seaweed-rainbow-jam-20
Frog King,N/A,Platformer,https://pixpnd.itch.io/frog-king
Cheshire in a Chatroom,N/A,Simulation,https://arkicade.itch.io/cheshire-in-a-chatroom
Flowers for Time,N/A,Strategy,https://arkicade.itch.io/flowers-for-time
PINFALL,N/A,Platformer,https://garbo111.itch.io/pinfall
PICOMIN,N/A,Strategy,https://gunturtle.itch.io/picomin
Cab Ride,N/A,Simulation,https://powersaurus.itch.io/cab-ride
Summer Carnival '22: CrossGunr DX,N/A,Shooter,https://aktanedev.itch.io/crossgunr
One Room Dungeon,N/A,Action,https://trasevol-dog.itch.io/one-room-dungeon
Dungeon Witches,$2.50,Role Playing,https://1oogames.itch.io/dungeon-witches
Pico Snail!: Dream Castle,N/A,Platformer,https://floofinator.itch.io/pico-snail
Here Comes The Bride,N/A,Fighting,https://liquidream.itch.io/here-comes-the-bride
HALLOWE3N,N/A,Adventure,https://liquidream.itch.io/hallowe3n
Pip!,N/A,Platformer,https://rarelikeaunicorn.itch.io/pip
Skyrogue (7DRL 2019),N/A,Puzzle,https://dragonxvi.itch.io/skyrogue
The Loss Levels,N/A,N/A,https://danhett.itch.io/the-loss-levels
Curse of Greed: ULTIMATE,N/A,Platformer,https://sophieh.itch.io/curse-of-greed
Pixel Session Vol.1,$3,Action,https://trasevol-dog.itch.io/pixel-session-vol1
Slime Bubble Bro,N/A,Platformer,https://guerragames.itch.io/slimebubblebro
Pico Space Program,N/A,N/A,https://nothke.itch.io/pico-space-program
Attack on the Deathstar,N/A,Simulation,https://freds72.itch.io/attack-on-the-deathstar
A Hat on Time,N/A,Platformer,https://eggnog.itch.io/a-hat-on-time
Virtuous Vanquisher of Evil,N/A,Role Playing,https://ironchestgames.itch.io/virtuous-vanquisher-of-evil
Charge!,N/A,Action,https://hyperlinkyourheart.itch.io/charge-pico-8
Scrap Boy,N/A,Platformer,https://bonevolt.itch.io/scrap-boy
4 GIGA BOSS FIGHTS,N/A,Shooter,https://guerragames.itch.io/4gigabossfights
Corrupted Space,N/A,Platformer,https://egordorichev.itch.io/corrupted-space
Get Comfortable,N/A,N/A,https://mcccclean.itch.io/get-comfortable
Willo,N/A,Action,https://hauntpun.itch.io/willo
Froggi,N/A,Survival,https://sophieh.itch.io/froggi
Reunited,N/A,Puzzle,https://rarelikeaunicorn.itch.io/reunited
8 Legs to Love,N/A,N/A,https://aylanonsense.itch.io/8-legs-to-love
The Spooky House,N/A,Adventure,https://spookysoft.itch.io/the-spooky-house
Hydra,N/A,Adventure,https://alienbug.itch.io/hydra
pikoralli,N/A,Racing,https://nothke.itch.io/pikoralli
